Nombre,Descripción,Módulo,Prioridad,Estado,Responsable,Dependencias,Criterios de aceptación
"Categorías de evento","Catálogo de categorías principales (Música, Teatro, Deportivo, Festivales, etc.) asignables a cada evento para clasificación y búsqueda.","Eventos",Media,Pendiente,Full-Stack,"Wizard de creación de eventos","El organizador asigna una o más categorías al evento y el buscador del micrositio filtra por categoría."
"Duplicar y editar evento publicado","Permitir duplicar un evento existente como base para uno nuevo, y editar un evento ya publicado con restricciones estructurales si ya tiene ventas registradas.","Eventos",Media,Pendiente,Full-Stack,"Wizard de creación de eventos","Duplicar genera una copia editable; editar un evento con ventas bloquea cambios estructurales (venue/aforo) pero permite otros ajustes."
"Gestión de aforo","Definir y desarrollar el control de aforo total por evento/venue; señalado explícitamente como funcionalidad faltante en el documento (requiere definición).","Definiciones Pendientes",Alta,Pendiente,Producto / Cliente,"Wizard de creación de eventos","El cliente define las reglas de aforo y el sistema calcula y muestra el aforo disponible/ocupado por evento."
"Editor de venues (mapa drag & drop)","Editor visual para crear venues (Estadio, Teatro, Feria, Aula, Mixto) con zonas numeradas y no numeradas, filas, mesas, asientos individuales y stands de feria.","Venues y Mapa de Asientos",Alta,Pendiente,Frontend,Ninguna,"El organizador diseña un venue con al menos un tipo numerado, uno no numerado y stands, y lo guarda asociado a un evento."
"Reserva, bloqueo y cupos de asientos","Reservar/liberar localidades, bloquear asientos manualmente y reservar cupos para auspiciantes, producción o staff.","Venues y Mapa de Asientos",Media,Pendiente,Backend,"Editor de venues (mapa drag & drop)","El organizador bloquea/reserva asientos específicos que quedan excluidos de la venta pública."
"Reporte de venta de stands","Reporte exportable (Excel/CSV) de stands vendidos en ferias: nombre/número del stand, comprador, contacto, fecha, monto y estado (pagado/reservado/cancelado).","Venues y Mapa de Asientos",Media,Pendiente,Backend,"Editor de venues (mapa drag & drop); formato pendiente de validación del cliente","El organizador exporta el reporte de stands con todos los campos definidos; el formato final queda validado con el cliente."
"Control de visibilidad y acceso a eventos","Configurar visibilidad (público, privado, público bloqueado) y modalidades de acceso (abierto, solo con link, lista verificada, código de acceso único/multiuso).","Control de Acceso y Visibilidad",Alta,Pendiente,Full-Stack,"Wizard de creación de eventos","Cada combinación de visibilidad/acceso definida en el documento funciona según su descripción (indexación, requerimiento de código o lista, etc.)."
"Importación de listas verificadas y envío automático de invitaciones","Importar listas de cédulas/correos (CSV) para eventos con acceso restringido, con envío automático de invitaciones.","Control de Acceso y Visibilidad",Media,Pendiente,Backend,"Control de visibilidad y acceso a eventos","El organizador importa un CSV, los invitados reciben invitación automática y el sistema valida el acceso contra la lista al comprar."
"Motor de inventario y reserva temporal con timeout","Servicio interno de inventario que reserva atómicamente asientos/localidades con timeout configurable (optimistic locking) y libera automáticamente si el pago no se completa.","Inventario y Reservas",Alta,Pendiente,Backend,"Editor de venues (mapa drag & drop)","Dos compradores no pueden reservar el mismo asiento a la vez; la reserva se libera automáticamente al vencer el timeout configurado (ej. 10 min)."
"Límites de compra","Configurar límites de compra por cliente, por transacción, por código promocional y por mesa/fila completa (mínimo o número exacto de entradas).","Inventario y Reservas",Media,Pendiente,Backend,"Motor de inventario y reserva temporal con timeout","El sistema rechaza compras que excedan cualquiera de los límites configurados por el organizador."
"Descuentos y promociones","Configurar descuentos por preventa/fecha, códigos únicos/múltiples, códigos de influencer con seguimiento de conversión, descuentos por ley/categoría con verificación, por forma de pago, NxM y valor fijo.","Descuentos y Promociones",Alta,Pendiente,Backend,"Wizard de creación de eventos","Cada tipo de descuento listado en el documento se puede configurar y se aplica correctamente al precio final en el checkout."
"Gestión comercial de códigos y campañas","Creación de códigos promocionales, descuentos por campaña/influencer, cambios automáticos de precio por preventa y envío de promociones por WhatsApp/email.","Gestión Comercial",Media,Pendiente,Full-Stack,"Descuentos y promociones","El organizador crea una campaña con código promocional y la envía por email/WhatsApp a una lista de contactos."
"Buscador de eventos (fuzzy search)","Buscador en el micrositio con tolerancia a errores tipográficos para encontrar eventos.","Compra y Checkout (Asistente)",Media,Pendiente,Frontend,"Editor visual de micrositio","Búsquedas con errores de tipeo menores devuelven el evento correcto."
"Login, registro y modo invitado en checkout","Login/registro en el flujo de compra con OAuth (Google, Facebook, Apple) y email/password, más modo invitado configurable por el organizador que requiere solo nombre y correo.","Compra y Checkout (Asistente)",Alta,Pendiente,Full-Stack,"Buscador de eventos (fuzzy search)","El comprador se autentica con cualquiera de los métodos indicados o completa la compra como invitado si el organizador lo habilita; no existen compras 100% anónimas."
"Selección de localidad y aplicación de descuento","Selección de asiento en mapa interactivo (numerado) o cantidad (no numerado), con opción de aplicar código promocional antes del pago.","Compra y Checkout (Asistente)",Alta,Pendiente,Full-Stack,"Motor de inventario y reserva temporal con timeout; Descuentos y promociones","El comprador selecciona asiento/cantidad, aplica un código válido y ve el precio actualizado antes de pagar."
"Integración de pasarelas de pago y billetera virtual","Checkout con múltiples pasarelas locales e internacionales (Nuvei, Stripe, Kushki, PayPhone, Datafast), manejo de rechazo de pago con liberación de reserva y reintento, y QR de billetera virtual para dar de baja compras pagadas con ese método.","Pagos e Integraciones",Alta,Pendiente,Backend,"Selección de localidad y aplicación de descuento","Un pago exitoso genera el ticket; un pago rechazado libera la reserva y permite reintentar sin perder el carrito; las compras con billetera virtual generan su QR de baja."
"Definición de billetera virtual","Afinar con el cliente el funcionamiento exacto de la billetera virtual como forma de pago; señalado como pendiente en el documento.","Definiciones Pendientes",Media,Pendiente,Producto / Cliente,"Integración de pasarelas de pago y billetera virtual","El cliente define el flujo completo de la billetera virtual y queda documentado como adenda."
"Diseñador visual de tickets y QR firmado","Editor drag & drop para diseñar tickets (logo, fondo, datos, QR) y generación de QR firmado digitalmente (HMAC-SHA256), compatible con el lector existente de Ticket Show, en formatos digital/imprimible/PVC.","Tickets y QR",Alta,Pendiente,Full-Stack,Ninguna,"El organizador diseña un ticket, se genera con QR firmado válido y es escaneable por el lector actual de Ticket Show en al menos un formato de entrega."
"Generación de diseño de ticket con IA (exploratorio)","Propuestas de diseño de ticket generadas automáticamente a partir de un prompt de texto.","Tickets y QR",Baja,Pendiente,Frontend,"Diseñador visual de tickets y QR firmado","A partir de un prompt, el sistema propone al menos una plantilla de ticket utilizable como punto de partida."
"Envío parametrizable de e-ticket/QR","Configurar el momento de envío del e-ticket/QR (al momento de la compra, en fecha/hora específica, u horas antes del evento); el QR siempre aparece en el historial del asistente aprox. 3 horas antes del evento.","Tickets y QR",Media,Pendiente,Backend,"Diseñador visual de tickets y QR firmado","El organizador configura una de las 3 modalidades de envío y el sistema la respeta; la confirmación de compra inicial no incluye el e-ticket salvo envío inmediato habilitado."
"Envío de tickets a terceros","Permitir que el comprador reenvíe o comparta los e-tickets/QR individuales de una compra múltiple a otras personas, para que cada una ingrese con su propio ticket.","Compra y Checkout (Asistente)",Media,Pendiente,Full-Stack,"Envío parametrizable de e-ticket/QR","El comprador envía cada ticket de una compra múltiple a un contacto distinto y cada uno accede de forma independiente en el evento."
"Cortesías e invitaciones","Emisión individual y masiva de cortesías, envío o descarga, y reporte de cortesías utilizadas y pendientes.","Cortesías e Invitaciones",Media,Pendiente,Full-Stack,"Diseñador visual de tickets y QR firmado","El organizador emite cortesías individuales y masivas, las envía por email y consulta el reporte de uso."
"Validación de acceso en el evento (escaneo QR)","Escaneo y validación de QR en puerta, con soporte para lectura única, reingreso permitido y lecturas en prefiltros; compatible con el lector existente de Ticket Show.","Validación de Acceso",Alta,Pendiente,Full-Stack,"Diseñador visual de tickets y QR firmado","El lector valida el QR según la configuración (única lectura/reingreso/prefiltro) y es compatible con el equipo actual de Ticket Show."
"Gestión de clientes y compradores","Importación de listas de clientes, reenvío de tickets, cambio de titular de un ticket y listado de personas con descuento asignado.","Gestión de Clientes",Media,Pendiente,Full-Stack,"Diseñador visual de tickets y QR firmado","El organizador reenvía un ticket a otro correo, cambia el titular de una entrada y consulta el listado de compradores con descuento."
"Operación del evento (apertura, suspensión, cancelación, comunicación masiva)","Apertura/cierre de ventas, suspensión temporal, cancelación o reprogramación de eventos, y comunicación masiva a compradores por email.","Operación del Evento",Alta,Pendiente,Full-Stack,"Wizard de creación de eventos","El organizador suspende/cierra ventas, cancela o reprograma un evento, y notifica a todos los compradores por email."
"Reembolsos y devoluciones","Definir y desarrollar el proceso de reembolsos/devoluciones ante cancelación de eventos; señalado explícitamente como pendiente en el documento.","Definiciones Pendientes",Alta,Pendiente,Producto / Cliente,"Operación del evento (apertura, suspensión, cancelación, comunicación masiva); Integración de pasarelas de pago y billetera virtual","El cliente define la política y el flujo de reembolsos; el sistema ejecuta devoluciones y refleja el estado en órdenes y reportes."
"Comisiones y liquidaciones a organizadores","Definir y desarrollar el esquema de comisiones y los reportes de liquidación por evento; señalado explícitamente como pendiente en el documento.","Definiciones Pendientes",Alta,Pendiente,Producto / Cliente,"Reportería para el organizador","El cliente define el modelo de comisión y el sistema genera el reporte de liquidación por evento/organizador."
"Reportería para el organizador","Reportes de ventas (con exportación Excel/CSV), lista de invitados, reservas vs. confirmadas, uso de códigos promocionales, control de acceso en vivo y dashboard con gráficos de conversión y demografía.","Reportería",Alta,Pendiente,Full-Stack,"Motor de inventario y reserva temporal con timeout","El organizador visualiza y exporta cada uno de los reportes/KPIs listados con datos reales de al menos un evento."
"Panel super-administrador","Gestión global de organizadores (aprobación/rechazo/suspensión), vista global de eventos, reportería global de la plataforma, analítica de uso (Hotjar/Clarity) y CRUD de planes de suscripción.","Panel Super-Admin",Alta,Pendiente,Full-Stack,"Selección y aprobación de plan","El super-admin gestiona organizadores y planes, y visualiza la reportería/analítica global de toda la plataforma."
"Planes de suscripción y facturación","Definir y administrar los 4 planes (Evento Único, Básico, Profesional, Enterprise) con límites de eventos/mes, features incluidas, upgrade de plan desde el panel y cobros recurrentes.","Planes y Suscripciones",Alta,Pendiente,Full-Stack,"Definición de precios de planes","El organizador hace upgrade de plan y las funciones del plan superior se desbloquean; los cobros recurrentes se procesan según el plan."
"Definición de precios de planes","El cliente debe definir los precios finales (actualmente TBD) de los 4 planes de suscripción antes del lanzamiento.","Definiciones Pendientes",Alta,Pendiente,Producto / Cliente,Ninguna,"El cliente entrega la tabla de precios definitiva por plan, documentada como adenda al contrato."
