Nombre,Módulo,Estado,Progreso,Prioridad,Responsable,Dependencias,Qué falta,Evidencia,Observaciones
"Validación de conflictos de fecha/hora/lugar","Eventos","⚠️ Parcialmente implementado",40%,Media,Backend,"Wizard de creación de eventos","El chequeo de duplicados no corre al editar un evento (update_my_event), solo al crearlo | Solo compara venue_name como texto libre, no venue_id ni entre eventos distintos | Sin advertencia no bloqueante para casos límite (mismo día, minutos de diferencia)","backend/routers/events.py::create_my_event (bloqueo 409 por venue_name+fecha exacta); backend/routers/functions.py::_check_schedule_conflict","Existe bloqueo duro solo en creación; la advertencia suave para casos límite que pide el documento no está implementada."
"Categorías de evento","Eventos","⚠️ Parcialmente implementado",55%,Media,Full-Stack,"Wizard de creación de eventos","list_public_events (microsito público) no acepta filtro por categoría | Sin UI de filtro por categoría en EventPublic.tsx/MicrositePublic.tsx | Sin verificación de uso real del filtro en búsqueda pública","backend/routers/events.py::EventCategory (20 valores); frontend/src/lib/events.ts::EVENT_CATEGORIES; orm_models.py::Event.category; admin_list_events con filtro category (solo panel admin)","El modelo de datos y la asignación por el organizador están completos; falta la mitad pública del requerimiento (buscar/filtrar por categoría en el micrositio)."
"Duplicar y editar evento publicado","Eventos","⚠️ Parcialmente implementado",45%,Media,Full-Stack,"Wizard de creación de eventos","No existe endpoint de duplicar/clonar EVENTOS (solo existe para venues) | El bloqueo de edición con ventas solo cubre 4 campos (precio/pricing_type/currency/capacidad) | Sin restricción de otros cambios estructurales (venue, fecha) tras ventas","backend/routers/events.py::update_my_event (bloqueo si tickets_sold>0); backend/routers/venues.py::_is_locked/lock-status y duplicate_venue (sí existe para venues)","La función ""editar con restricciones"" funciona y está enforced; ""duplicar evento"" no existe pese a que la misma función sí fue construida para venues."
"Gestión de aforo","Definiciones Pendientes","⚠️ Parcialmente implementado",65%,Alta,Producto / Cliente,"Wizard de creación de eventos","Sin UI/endpoint dedicado de ""gestión de aforo"" (sub-límites por zona, alertas de aforo cercano) | Sin dashboard agregado de utilización de aforo por evento/localidad | Falta formalizar reglas de aforo con el cliente pese al código ya existente","backend/routers/venues.py::_compute_capacity; backend/routers/events.py::link_venue_to_event (capacidad heredada del venue); backend/services/order_service.py::get_capacity_status/reserve_capacity; orm_models.py::EventCapacityReservation","El documento marca esto explícitamente como ""FALTA"", pero el código muestra cómputo y aplicación de aforo real, probado y en uso en checkout; el documento está desactualizado en este punto."
"Editor de venues (mapa drag & drop)","Venues y Mapa de Asientos","⚠️ Parcialmente implementado",80%,Alta,Frontend,Ninguna,"No existe un tipo de elemento ""stand"" dedicado; feria usa zonas genéricas como workaround | Sin propiedades específicas de numeración/booth para stands en PropertiesPanel.tsx","frontend/src/lib/venues.ts::VENUE_TYPES (theater/auditorium/stadium/fair/classroom/mixed); frontend/src/components/venues/{EditorToolbar,ElementShape,PropertiesPanel,LocalitiesPanel}.tsx; backend/routers/venues.py (CRUD + from-template + duplicate + localities)","Editor Konva muy completo (filas rectas/curvas, mesas, asientos individuales, plantillas, duplicación, bloqueo estructural); falta el primitivo de ""stand"" para ferias."
"Reserva, bloqueo y cupos de asientos","Venues y Mapa de Asientos","⚠️ Parcialmente implementado",50%,Media,Backend,"Editor de venues (mapa drag & drop)","Sin función de ""bloquear asiento"" manual para organizadores | Sin concepto de ""cupos"" reservados para auspiciantes/producción/staff/familiares | courtesy_ticket_design es solo diseño visual, no un mecanismo de cupo","orm_models.py::SeatHold, EventCapacityReservation; backend/services/seats.py::create_seat_holds/release_holds_for_session/consume_holds_for_order","El pipeline de reserva/liberación del lado comprador es sólido y con protección a nivel de DB; el bloqueo manual y los cupos del lado organizador están completamente ausentes."
"Reporte de venta de stands","Venues y Mapa de Asientos","❌ Pendiente",10%,Media,Backend,"Editor de venues (mapa drag & drop); formato pendiente de validación del cliente","No existe el tipo de elemento ""stand"" del que depende este reporte | Sin endpoint de reporte de stands | Exports existentes no tienen columnas de monto ni estado pagado/reservado/cancelado","backend/routers/tickets.py::export_event_tickets_csv (CSV genérico de tickets, sin campos de stand); backend/routers/admin_exports.py (solo exports admin generales)","El ticket más claramente sin implementar del grupo de venues; depende del gap de la Ticket 15 (falta el elemento ""stand"")."
"Control de visibilidad y acceso a eventos","Control de Acceso y Visibilidad","⚠️ Parcialmente implementado",65%,Alta,Full-Stack,"Wizard de creación de eventos","Bug: eventos con visibility=""private"" son inalcanzables (get_public_event filtra solo public/public_blocked → 404 en el link directo) | ""link_only"" no tiene lógica de gate propia, depende del path roto de private | Sin diferenciación explícita único vs multiuso más allá de max_uses","orm_models.py::Event.visibility; backend/routers/events.py::Visibility/EventAccessParams.access_type; backend/services/access_control.py; orm_models.py::EventAccessCode; backend/routers/guest_lists.py; frontend/src/components/orders/PurchaseModal.tsx","Backend sólido y probado para verified_list/access_code; el camino de ""privado con link directo"" está roto — riesgo funcional importante ya que es un caso de uso central del ticket."
"Importación de listas verificadas y envío automático de invitaciones","Control de Acceso y Visibilidad","⚠️ Parcialmente implementado",45%,Media,Backend,"Control de visibilidad y acceso a eventos","No existe ningún envío automático de invitaciones (email_service.py no tiene plantilla ni disparo al importar) | Sin UI de ""enviar invitaciones"" en GuestListPanel | Sin cola/tarea en background ligada a la importación","backend/routers/guest_lists.py::import_guest_list (CSV, dedupe, límite 10MB); orm_models.py::EventGuestListEntry; frontend/src/components/events/GuestListPanel.tsx; backend/tests/integration/test_guest_lists.py","La importación está bien implementada y probada; el envío automático de invitaciones —el título mismo del ticket— está completamente ausente."
"Motor de inventario y reserva temporal con timeout","Inventario y Reservas","✅ Completado",85%,Alta,Backend,"Editor de venues (mapa drag & drop)","Usa locking pesimista (with_for_update) en vez de locking optimista formal con columna de versión | Sin job/cron activo que barra reservas vencidas (expiración es ""lazy"", solo se filtra al leer)","backend/services/order_service.py::reserve_capacity (with_for_update), RESERVATION_TTL_MIN=15; orm_models.py::EventCapacityReservation, Event.seat_holds_window_minutes; backend/services/seats.py::create_seat_holds (índice único a nivel DB)","El más sólido del grupo de inventario: reserva atómica y timeout reales, probados y usados de forma consistente en compra numerada y general."
"Límites de compra","Inventario y Reservas","⚠️ Parcialmente implementado",40%,Media,Backend,"Motor de inventario y reserva temporal con timeout","max_per_email (límite por cliente) está definido en el esquema pero nunca se aplica en ningún endpoint | assert_buyer_allowed() en discount_service.py está definida pero nunca se invoca (código muerto) | max_tickets_per_purchase por localidad tampoco se valida","backend/routers/orders.py (max_per_purchase sí se aplica); backend/services/order_service.py::MAX_QUANTITY=10 (límite global hardcodeado); backend/services/seats.py (compra de mesa/fila completa vía require_full_purchase)","Solo funcionan los límites por transacción y mesa/fila completa; los límites por cliente y por código promocional son campos definidos pero nunca aplicados — brecha oculta por la presencia de los campos en el esquema."
"Descuentos y promociones","Descuentos y Promociones","⚠️ Parcialmente implementado",60%,Alta,Backend,"Wizard de creación de eventos","disability_law (descuento por ley/discapacidad) es solo un toggle de UI/esquema, nunca se aplica al total del pedido y no tiene verificación de identidad | El toggle legacy ""presale"" tampoco afecta precios | max_per_buyer en promo codes es código muerto (no se enforcement)","backend/services/discount_service.py (promo_code, auto, quantity, buy_n_get_m, fixed, payment_methods); backend/routers/events.py::get_discounts_report (influencer/conversión); backend/tests/integration/test_discounts.py (27 tests)","6 de los 8 tipos de descuento del documento están realmente implementados y probados; los 2 descuentos ""legales/de cumplimiento"" son fachadas de UI sin efecto real en el precio final — riesgo de incumplimiento normativo si se comunica como disponible."
"Gestión comercial de códigos y campañas","Gestión Comercial","⚠️ Parcialmente implementado",40%,Media,Full-Stack,"Descuentos y promociones","No existe envío de campañas por WhatsApp/email (solo hay un botón de ""compartir"" pasivo tipo wa.me) | Sin entidad de ""campaña"" separada de una regla de descuento individual | Sin generación masiva de códigos (ej. lote para influencer)","frontend/src/components/events/DiscountRulesPanel.tsx; backend/routers/events.py::get_discounts_report; orm_models.py::TicketType.is_early_bird/early_bird_closes_at (cambio automático de precio por preventa)","La creación de códigos y el cambio automático de precio por preventa funcionan; el envío de promociones por WhatsApp/email —lo más distintivo de este ticket frente al de Descuentos— no existe."
"Buscador de eventos (fuzzy search)","Compra y Checkout (Asistente)","❌ Pendiente",5%,Media,Frontend,"Editor visual de micrositio","Sin endpoint de búsqueda pública (list_my_events es privado del organizador) | Sin algoritmo de tolerancia a errores tipográficos (fuzzy/trgm/fuse) | Sin caja de búsqueda en el micrositio público","backend/routers/events.py::list_my_events (búsqueda ILIKE, pero endpoint autenticado del organizador, no público); grep ""fuzzy""/""trgm""/""fuse"" = 0 resultados","No hay ningún avance real hacia una búsqueda fuzzy pública; solo existe un filtro exacto interno no relacionado con el requerimiento."
"Login, registro y modo invitado en checkout","Compra y Checkout (Asistente)","❌ Pendiente",10%,Alta,Full-Stack,"Buscador de eventos (fuzzy search)","Sin integración OAuth (Google/Facebook/Apple) | El checkout actual es siempre ""invitado"" — no hay opción de iniciar sesión dentro del flujo de compra | Sin toggle configurable de ""modo invitado"" por organizador/evento","backend/routers/auth.py (solo email/password, sin OAuth); backend/routers/orders.py::create_order (100% anónimo, sin Depends(get_current_user)); frontend/src/components/orders/PurchaseModal.tsx (sin login/registro/guest toggle)","docs/PRD_DETALLADO.md confirma esto como Fase 8/11 pendiente; el flujo actual es más ""siempre anónimo"" que ""login + modo invitado configurable"" como pide el documento — brecha central del flujo de compra."
"Selección de localidad y aplicación de descuento","Compra y Checkout (Asistente)","✅ Completado",95%,Alta,Full-Stack,"Motor de inventario y reserva temporal con timeout; Descuentos y promociones","No se verificó a fondo el comportamiento del código promocional en el edge case de pricing_type=""donación""","frontend/src/components/venues/SeatPickerCanvas.tsx; frontend/src/components/orders/PurchaseModal.tsx (selector de cantidad); backend/routers/orders.py::preview_order (POST /public/orders/preview con promo_code); backend/services/discount_service.py","Flujo completo de mapa de asientos + selector de cantidad + preview de descuento antes de pagar, real, funcional y probado end-to-end."
"Integración de pasarelas de pago y billetera virtual","Pagos e Integraciones","⚠️ Parcialmente implementado",20%,Alta,Backend,"Selección de localidad y aplicación de descuento","Nuvei, Kushki, PayPhone y Datafast no están integrados en absoluto (solo mencionados en docs/PRD como ""Fase 9"" futura) | No existe billetera virtual (sin método de pago, sin modelo de datos, sin QR de baja) | Sin manejador explícito de reintento con otra tarjeta manteniendo el carrito tras rechazo","backend/stripe_service.py (Stripe completo: checkout, portal, webhooks); backend/services/order_service.py::VALID_PAYMENT_METHODS=(""stripe"",""transfer"",""cash"",""season_pass""); grep ""nuvei/kushki/payphone/datafast/billetera"" = 0 resultados en código","Solo Stripe (tarjetas) + transferencia/efectivo manual están implementados; el propio PRD interno confirma que los procesadores locales están planificados para una ""Fase 9"" aún no iniciada — riesgo alto para el mercado ecuatoriano si se requieren antes del lanzamiento."
"Definición de billetera virtual","Definiciones Pendientes","❌ Pendiente",0%,Media,Producto / Cliente,"Integración de pasarelas de pago y billetera virtual","Definición completa del flujo de billetera virtual por parte del cliente","grep ""billetera""/""wallet"" = 0 resultados en todo el repo (código y documentación)","Confirma que es una decisión de cliente genuinamente pendiente, sin ningún borrador de especificación; bloquea a la Ticket de Integración de pasarelas."
"Diseñador visual de tickets y QR firmado","Tickets y QR","✅ Completado",90%,Alta,Full-Stack,Ninguna,"No hay tabla dedicada TicketDesign (es JSONB, funcional pero sin versionado) | Sin evidencia de compatibilidad verificada con el lector legacy de ""Ticket Show""","frontend/src/components/events/TicketDesignPanel.tsx (react-konva, formatos digital/a4/pvc); backend/routers/events.py (modelos TicketDesign, upload/preview); orm_models.py::Event.ticket_design (JSONB); backend/services/pdf_service.py::render_ticket_pdf_from_design; backend/services/ticket_jwt.py (HS256 = HMAC-SHA256)","El pipeline más completo del proyecto: canvas, diseño, PDF en 3 formatos y QR firmado, todo funcional y verificado en código."
"Generación de diseño de ticket con IA (exploratorio)","Tickets y QR","❌ Pendiente",5%,Baja,Frontend,"Diseñador visual de tickets y QR firmado","Integración de IA/LLM real | Endpoint de generación desde prompt | UI de generación con IA","backend/services/plan_features.py::""ai_ticket_design"" (flag booleano, solo Enterprise); orm_models.py::SubscriptionPlan.includes_ai_design","Solo existe el flag de plan reservado a futuro, consistente con el carácter ""exploratorio"" del ticket; sin ninguna lógica de generación."
"Envío parametrizable de e-ticket/QR","Tickets y QR","⚠️ Parcialmente implementado",20%,Media,Backend,"Diseñador visual de tickets y QR firmado","No existe scheduler/cron/job que lea y aplique ticket_delivery_hours/at (columnas nunca se consumen) | Confirmación de compra y entrega de ticket son el mismo email, siempre inmediato | Sin lógica de ""QR visible 3h antes del evento"" como fallback","orm_models.py::Event.ticket_delivery_mode/ticket_delivery_hours/ticket_delivery_at, TicketOrder.tickets_sent_at (columnas configurables vía API); backend/services/email_service.py::send_purchase_confirmation (siempre envía el QR de inmediato)","Parece scaffolding preparado para la función pero nunca conectado — configuración inerte que podría confundir a un organizador que la configura esperando que funcione."
"Envío de tickets a terceros","Compra y Checkout (Asistente)","❌ Pendiente",0%,Media,Full-Stack,"Envío parametrizable de e-ticket/QR","Endpoint para reenviar un ticket individual a otro destinatario | UI de ""enviar este ticket a X"" en confirmación/historial de compra | Mutación de holder_email ligada a este flujo","backend/routers/tickets.py::organizer_resend_email (reenvía TODA la orden al comprador original, no un ticket individual a un tercero)","No existen piezas parciales de esta funcionalidad; lo único relacionado es un reenvío de orden completa disparado por el organizador, no por el comprador."
"Cortesías e invitaciones","Cortesías e Invitaciones","❌ Pendiente",10%,Media,Full-Stack,"Diseñador visual de tickets y QR firmado","Mecanismo de emisión de cortesías (individual o masiva) | Flag is_courtesy en Ticket/TicketOrder para diferenciarlas en reportes | Reporte de cortesías usadas/pendientes","orm_models.py::Event.courtesy_ticket_design (solo plantilla visual de diseño); backend/routers/events.py (slot ""courtesy"" solo de diseño, no de emisión)","Fácil de confundir con avance real porque ""courtesy"" aparece en el código, pero es puramente cosmético (plantilla de diseño), no la lógica de negocio de emisión/tracking."
"Validación de acceso en el evento (escaneo QR)","Validación de Acceso","⚠️ Parcialmente implementado",55%,Alta,Full-Stack,"Diseñador visual de tickets y QR firmado","Solo modo de ""lectura única"" — sin reingreso configurable | Sin concepto de ""prefiltro""/checkpoint secundario | La app móvil (Expo) es scaffolding sin cámara real; el escaneo solo ocurre vía navegador web","backend/routers/tickets.py::validate_ticket (JWT + SELECT FOR UPDATE + log en TicketScan); orm_models.py::Ticket.status/TicketScan; frontend/src/pages/organizer/EventValidation.tsx y frontend/src/pages/staff/StaffScanner.tsx (html5-qrcode); backend/tests/integration/test_orders.py","Backend de validación y auditoría sólido y probado (marca usado→already_used correctamente); faltan los submodos específicos (reingreso, prefiltro) y la app móvil nativa; sin evidencia de compatibilidad con hardware legacy de ""Ticket Show""."
"Gestión de clientes y compradores","Gestión de Clientes","❌ Pendiente",10%,Media,Full-Stack,"Diseñador visual de tickets y QR firmado","Endpoint para cambiar el titular de un ticket ya emitido | Importación de listas de clientes dedicada (guest_lists.py es para control de acceso, no CRM) | Reporte de compradores con descuento asignado a nivel individual","backend/routers/tickets.py::organizer_resend_email (reenvío de orden completa, no por cliente); orm_models.py::Ticket.holder/holder_name/holder_email (sin endpoint que los mute); backend/routers/events.py::get_discounts_report (agregado por regla, no por comprador)","Las piezas que existen son incidentales a otras funciones (reenvío, reportería de descuentos), no un módulo de gestión de clientes propiamente dicho."
"Operación del evento (apertura, suspensión, cancelación, comunicación masiva)","Operación del Evento","⚠️ Parcialmente implementado",35%,Alta,Full-Stack,"Wizard de creación de eventos","Sin estado real de ""suspensión temporal"" (unpublish revierte todo el evento a borrador, no solo pausa ventas) | Sin endpoint dedicado de reprogramación (solo edición genérica) | Sin comunicación masiva a compradores; cancelar no notifica ni reembolsa automáticamente","backend/routers/events.py::publish/unpublish/cancel/admin_force_cancel; orm_models.py::Event.status (draft/published/cancelled); frontend/src/pages/organizer/events/EventDetail.tsx","El ciclo de vida básico (publicar/despublicar/cancelar) funciona end-to-end con UI; las funciones más específicas del ticket (suspender ventas sin despublicar, reprogramar, comunicar masivamente) no existen."
"Reembolsos y devoluciones","Definiciones Pendientes","⚠️ Parcialmente implementado",55%,Alta,Producto / Cliente,"Operación del evento (apertura, suspensión, cancelación, comunicación masiva); Integración de pasarelas de pago y billetera virtual","Sin flujo automático/masivo de reembolso ligado a la cancelación de un evento (debe hacerse orden por orden) | refund_window_hours se captura en el formulario pero nunca se aplica/valida | Sin flujo de solicitud de reembolso iniciado por el comprador","backend/services/order_service.py::refund_order (Stripe refund + revoca tickets); backend/routers/tickets.py::organizer_refund_order; orm_models.py::TicketOrder.refunded_at/refund_reason; backend/tests/integration/test_orders.py::TestRefundAndResend","El documento marca esto como ""falta definir"", pero ya existe un reembolso manual funcional y probado; lo que sigue faltando es la política automática de cancelación masiva que el documento pedía definir."
"Comisiones y liquidaciones a organizadores","Definiciones Pendientes","⚠️ Parcialmente implementado",35%,Alta,Producto / Cliente,"Reportería para el organizador","La comisión es un único porcentaje global fijo (env var), no un esquema diferenciado por plan/organizador/evento | El único reporte de liquidación (monthly-report.csv) es exclusivo de super-admin, no accesible al organizador | Sin seguimiento de pagos/remesas (payout) a organizadores","backend/services/order_service.py::DEFAULT_FEE_PERCENT (env TYS_FEE_PERCENT=5%, aplicado por orden); orm_models.py::TicketOrder.fees_cents; backend/routers/admin_exports.py::monthly-report.csv (GMV/Comisiones/Neto, solo super_admin)","El descuento de comisión funciona y está probado; lo explícitamente marcado como ""falta definir"" en el documento (esquema de comisiones y reportes de liquidación para el organizador) sigue sin resolverse."
"Reportería para el organizador","Reportería","⚠️ Parcialmente implementado",50%,Alta,Full-Stack,"Motor de inventario y reserva temporal con timeout","Sin exportación CSV/Excel de ventas/órdenes para el organizador (solo existe a nivel admin) | Dashboard del organizador sin gráficos (Recharts solo se usa en el panel super-admin) ni datos demográficos | Sin reporte dedicado de reservas-vs-confirmadas para eventos gratuitos","backend/routers/tickets.py::event_stats/scan-log/scan-log.csv/scan-stats; backend/routers/events.py::get_discounts_report; frontend/src/components/events/EventSalesTabs.tsx; frontend/src/pages/organizer/DashboardHome.tsx (sin gráficos)","3 de los 6 reportes requeridos están sólidamente implementados (lista de invitados, uso de códigos promocionales, control de acceso en vivo); el dashboard con gráficos y el export de ventas para el organizador faltan."
"Panel super-administrador","Panel Super-Admin","⚠️ Parcialmente implementado",80%,Alta,Full-Stack,"Selección y aprobación de plan","Sin integración de analítica de uso (Hotjar/Clarity) — grep = 0 resultados | AdminPlans.tsx (frontend) solo permite activar/desactivar y borrar planes, no crear/editar aunque el backend sí lo soporta","backend/routers/admin.py, admin_dashboard.py, admin_exports.py; backend/routers/plans.py::admin_router (CRUD completo); frontend/src/pages/admin/* (10 páginas); backend/tests/integration/test_admin.py","Gestión global de organizadores/eventos y reportería sólidos y probados; faltan la analítica de uso y el CRUD completo de planes en la interfaz."
"Planes de suscripción y facturación","Planes y Suscripciones","⚠️ Parcialmente implementado",55%,Alta,Full-Stack,"Definición de precios de planes","services/plan_features.py documenta explícitamente que el enforcement está OFF por defecto: los límites/features de plan nunca se aplican en ningún endpoint | ""Upgrade desde el panel"" depende enteramente del portal externo de Stripe, sin comparador de planes in-app para organizadores activos | Sin UI de creación/edición de planes en admin","backend/seeds.py::PLANS (4 planes); backend/routers/billing.py (Stripe Checkout + Customer Portal); backend/routers/stripe_webhook.py (ciclo de vida de suscripción); backend/services/plan_features.py (matriz de features, enforcement OFF)","La infraestructura de cobros recurrentes es real (webhooks manejan el ciclo de vida de suscripción); la capa de aplicación de límites de plan está codificada pero funcionalmente inerte — riesgo de fuga de ingresos."
"Definición de precios de planes","Definiciones Pendientes","❌ Pendiente",0%,Alta,Producto / Cliente,Ninguna,"Tabla de precios final aprobada por el cliente para los 4 planes","backend/seeds.py::PLANS (price_cents hardcodeados; el plan ""profesional"" tiene el mismo precio que ""evento_unico"", señal de valores no definitivos)","Los valores actuales son placeholders de desarrollo, no precios acordados con el cliente; bloquea el ticket de Selección y aprobación de plan y el de Planes de suscripción."
